iter	Passed	Remaining
406	6394	9317
407	6409	9300
408	6425	9284
409	6440	9268
410	6457	9254
411	6472	9237
412	6488	9221
413	6503	9206
414	6519	9190
415	6535	9174
416	6551	9159
417	6567	9143
418	6583	9129
419	6599	9113
420	6614	9096
421	6630	9082
422	6646	9066
423	6662	9050
424	6678	9035
425	6693	9019
426	6709	9003
427	6725	8988
428	6740	8971
429	6757	8957
430	6772	8941
431	6787	8924
432	6803	8908
433	6818	8892
434	6834	8876
435	6850	8861
436	6865	8845
437	6882	8830
438	6898	8815
439	6913	8799
440	6929	8783
441	6944	8767
442	6960	8751
443	6975	8735
444	6991	8720
445	7007	8703
446	7023	8688
447	7038	8672
448	7053	8656
449	7068	8639
450	7085	8624
451	7100	8608
452	7116	8593
453	7132	8577
454	7147	8561
455	7163	8545
456	7178	8529
457	7193	8512
458	7209	8496
459	7225	8481
460	7240	8465
461	7256	8449
462	7272	8434
463	7287	8418
464	7303	8402
465	7318	8386
466	7333	8370
467	7349	8355
468	7366	8340
469	7382	8324
470	7397	8308
471	7413	8292
472	7428	8276
473	7444	8260
474	7459	8244
475	7474	8228
476	7490	8213
477	7506	8197
478	7522	8182
479	7539	8167
480	7555	8152
481	7570	8135
482	7586	8120
483	7601	8104
484	7617	8088
485	7633	8073
486	7650	8058
487	7665	8042
488	7681	8026
489	7696	8010
490	7711	7994
491	7727	7978
492	7744	7964
493	7759	7948
494	7775	7932
495	7791	7917
496	7807	7901
497	7822	7885
498	7839	7870
499	7854	7854
500	7870	7838
501	7887	7824
502	7902	7808
503	7918	7792
504	7933	7776
505	7949	7761
506	7965	7745
507	7981	7729
508	7996	7713
509	8011	7697
510	8028	7682
511	8043	7666
512	8059	7650
513	8074	7635
514	8090	7618
515	8105	7602
516	8120	7586
517	8136	7570
518	8152	7555
519	8168	7540
520	8184	7524
521	8199	7508
522	8215	7492
523	8231	7477
524	8246	7461
525	8263	7446
526	8278	7430
527	8294	7414
528	8310	7399
529	8326	7383
530	8342	7368
531	8359	7353
532	8376	7338
533	8392	7323
534	8408	7308
535	8423	7292
536	8439	7276
537	8454	7260
538	8470	7244
539	8486	7229
540	8502	7213
541	8518	7198
542	8534	7182
543	8549	7166
544	8565	7150
545	8581	7135
546	8596	7119
547	8612	7103
548	8628	7088
549	8643	7072
550	8658	7055
551	8674	7039
552	8689	7024
553	8705	7008
554	8721	6992
555	8736	6976
556	8753	6961
557	8768	6945
558	8785	6931
559	8801	6915
560	8817	6899
561	8833	6884
562	8849	6868
563	8865	6853
564	8880	6837
565	8896	6821
566	8912	6806
567	8927	6790
568	8942	6773
569	8958	6758
570	8974	6742
571	8991	6728
572	9008	6712
573	9023	6697
574	9039	6681
575	9055	6665
576	9070	6649
577	9086	6633
578	9102	6618
579	9117	6602
580	9133	6587
581	9149	6571
582	9165	6555
583	9180	6539
584	9196	6523
585	9212	6508
586	9227	6492
587	9243	6476
588	9258	6460
589	9274	6444
590	9289	6429
591	9305	6413
592	9321	6398
593	9337	6382
594	9353	6366
595	9369	6351
596	9385	6335
597	9401	6319
598	9417	6304
599	9433	6288
600	9448	6273
601	9465	6257
602	9481	6242
603	9497	6226
604	9513	6211
605	9529	6195
606	9544	6179
607	9561	6164
608	9576	6148
609	9592	6132
610	9607	6117
611	9623	6101
612	9639	6085
613	9654	6069
614	9670	6053
615	9686	6038
616	9701	6022
617	9716	6006
618	9732	5990
619	9748	5975
620	9764	5959
621	9780	5943
622	9797	5928
623	9813	5913
624	9828	5897
625	9844	5881
626	9860	5865
627	9876	5850
628	9892	5834
629	9907	5818
630	9922	5802
631	9938	5787
632	9955	5771
633	9970	5756
634	9986	5740
635	10001	5724
636	10018	5709
637	10034	5693
638	10050	5677
639	10066	5662
640	10082	5646
641	10097	5630
642	10114	5615
643	10131	5600
644	10147	5585
645	10163	5569
646	10179	5554
647	10195	5538
648	10211	5522
649	10226	5506
650	10243	5491
651	10259	5475
652	10275	5460
653	10290	5444
654	10307	5428
655	10323	5413
656	10338	5397
657	10353	5381
658	10369	5365
659	10384	5349
660	10400	5334
661	10416	5318
662	10432	5302
663	10447	5286
664	10463	5271
665	10479	5255
666	10495	5240
667	10511	5224
668	10527	5208
669	10543	5192
670	10559	5177
671	10575	5161
672	10590	5145
673	10606	5130
674	10622	5114
675	10637	5098
676	10655	5083
677	10670	5067
678	10686	5052
679	10702	5036
680	10718	5020
681	10734	5005
682	10749	4989
683	10765	4973
684	10780	4957
685	10795	4941
686	10811	4925
687	10828	4910
688	10843	4894
689	10860	4879
690	10875	4863
691	10891	4847
692	10908	4832
693	10924	4816
694	10939	4800
695	10955	4785
696	10970	4769
697	10985	4753
698	11002	4737
699	11017	4721
700	11033	4706
701	11048	4690
702	11064	4674
703	11079	4658
704	11095	4642
705	11110	4626
706	11126	4611
707	11141	4595
708	11157	4579
709	11173	4563
710	11188	4547
711	11204	4532
712	11221	4516
713	11237	4501
714	11252	4485
715	11268	4469
716	11284	4453
717	11300	4438
718	11315	4422
719	11332	4406
720	11349	4391
721	11365	4376
722	11381	4360
723	11397	4344
724	11413	4329
725	11429	4313
726	11444	4297
727	11461	4282
728	11477	4266
729	11492	4250
730	11509	4235
731	11524	4219
732	11540	4203
733	11556	4187
734	11573	4172
735	11588	4156
736	11604	4141
737	11620	4125
738	11636	4109
739	11652	4094
740	11669	4078
741	11685	4063
742	11701	4047
743	11717	4031
744	11733	4016
745	11749	4000
746	11764	3984
747	11780	3968
748	11796	3953
749	11811	3937
750	11826	3921
751	11842	3905
752	11858	3889
753	11874	3874
754	11890	3858
755	11905	3842
756	11922	3827
757	11938	3811
758	11954	3795
759	11969	3779
760	11985	3764
761	12001	3748
762	12016	3732
763	12031	3716
764	12047	3700
765	12063	3685
766	12080	3669
767	12095	3653
768	12110	3637
769	12126	3622
770	12141	3606
771	12157	3590
772	12172	3574
773	12188	3558
774	12204	3543
775	12220	3527
776	12236	3511
777	12252	3496
778	12267	3480
779	12282	3464
780	12298	3448
781	12314	3432
782	12329	3417
783	12345	3401
784	12360	3385
785	12375	3369
786	12391	3353
787	12407	3338
788	12423	3322
789	12439	3306
790	12456	3291
791	12471	3275
792	12487	3259
793	12503	3243
794	12519	3228
795	12534	3212
796	12550	3196
797	12566	3180
798	12581	3165
799	12597	3149
800	12613	3133
801	12628	3117
802	12644	3102
803	12660	3086
804	12675	3070
805	12691	3054
806	12708	3039
807	12724	3023
808	12740	3008
809	12762	2993
810	12791	2980
811	12813	2966
812	12830	2951
813	12847	2935
814	12864	2920
815	12879	2904
816	12895	2888
817	12911	2872
818	12928	2857
819	12943	2841
820	12959	2825
821	12974	2809
822	12989	2793
823	13006	2778
824	13022	2762
825	13037	2746
826	13053	2730
827	13069	2714
828	13084	2699
829	13100	2683
830	13116	2667
831	13133	2651
832	13148	2636
833	13163	2620
834	13180	2604
835	13196	2588
836	13211	2572
837	13228	2557
838	13243	2541
839	13259	2525
840	13274	2509
841	13290	2493
842	13305	2478
843	13321	2462
844	13337	2446
845	13353	2430
846	13369	2415
847	13385	2399
848	13401	2383
849	13417	2367
850	13433	2352
851	13449	2336
852	13464	2320
853	13480	2304
854	13496	2288
855	13511	2272
856	13526	2257
857	13541	2241
858	13558	2225
859	13573	2209
860	13589	2193
861	13605	2178
862	13620	2162
863	13636	2146
864	13651	2130
865	13667	2114
866	13683	2099
867	13698	2083
868	13714	2067
869	13730	2051
870	13746	2035
871	13762	2020
872	13777	2004
873	13792	1988
874	13807	1972
875	13822	1956
876	13837	1940
877	13853	1924
878	13868	1909
879	13884	1893
880	13899	1877
881	13915	1861
882	13930	1845
883	13945	1830
884	13961	1814
885	13976	1798
886	13992	1782
887	14007	1766
888	14024	1751
889	14039	1735
890	14055	1719
891	14070	1703
892	14086	1687
893	14103	1672
894	14119	1656
895	14135	1640
896	14151	1624
897	14167	1609
898	14182	1593
899	14198	1577
900	14214	1561
901	14229	1546
902	14245	1530
903	14261	1514
904	14278	1498
905	14294	1483
906	14309	1467
907	14325	1451
908	14340	1435
909	14356	1419
910	14371	1404
911	14387	1388
912	14403	1372
913	14419	1356
914	14434	1340
915	14450	1325
916	14466	1309
917	14482	1293
918	14497	1277
919	14514	1262
920	14530	1246
921	14545	1230
922	14561	1214
923	14576	1198
924	14592	1183
925	14607	1167
926	14622	1151
927	14637	1135
928	14653	1119
929	14668	1104
930	14684	1088
931	14699	1072
932	14715	1056
933	14730	1040
934	14746	1025
935	14762	1009
936	14778	993
937	14794	977
938	14809	962
939	14824	946
940	14840	930
941	14856	914
942	14872	898
943	14887	883
944	14902	867
945	14918	851
946	14933	835
947	14949	820
948	14964	804
949	14980	788
950	14995	772
951	15011	756
952	15027	741
953	15042	725
954	15058	709
955	15073	693
956	15088	677
957	15104	662
958	15118	646
959	15134	630
960	15149	614
961	15165	599
962	15181	583
963	15196	567
964	15212	551
965	15227	535
966	15243	520
967	15260	504
968	15276	488
969	15291	472
970	15308	457
971	15323	441
972	15339	425
973	15354	409
974	15369	394
975	15385	378
976	15400	362
977	15415	346
978	15431	331
979	15447	315
980	15463	299
981	15480	283
982	15495	267
983	15511	252
984	15527	236
985	15542	220
986	15558	204
987	15573	189
988	15589	173
989	15605	157
990	15621	141
991	15637	126
992	15653	110
993	15669	94
994	15684	78
995	15700	63
996	15715	47
997	15731	31
998	15747	15
999	15762	0
