iter	RMSE
0	0.04671391127
1	0.04292050077
2	0.03957742687
3	0.036632734
4	0.03405079528
5	0.03179184703
6	0.02982864785
7	0.02813476789
8	0.02668227153
9	0.02543627729
10	0.02437084379
11	0.02346337549
12	0.02270582351
13	0.02205656862
14	0.02151732804
15	0.02107022077
16	0.02070237528
17	0.02039771594
18	0.02013996423
19	0.01992676429
20	0.01974807772
21	0.01960014734
22	0.01947966705
23	0.01938127535
24	0.01930258339
25	0.01923691879
26	0.01918358573
27	0.01913692488
28	0.01910096891
29	0.01907049354
30	0.01904350482
31	0.01901848893
32	0.01900038246
33	0.01898393323
34	0.01897068034
35	0.01895979513
36	0.01894950907
37	0.01894192749
38	0.01893456743
39	0.01892814371
40	0.01892164734
41	0.01891690725
42	0.01891158568
43	0.01890839195
44	0.01890417394
45	0.01890069958
46	0.01889829997
47	0.01889574001
48	0.01889290647
49	0.01889068752
50	0.01888828738
51	0.01888560784
52	0.01888229415
53	0.01887974383
54	0.0188778453
55	0.01887491378
56	0.01887252108
57	0.01886988402
58	0.01886805511
59	0.01886681999
60	0.0188640014
61	0.01886239761
62	0.01886050823
63	0.01885878965
64	0.01885668943
65	0.0188547723
66	0.01885337076
67	0.01885143198
68	0.01884998587
69	0.0188489835
70	0.01884575976
71	0.01884454199
72	0.01884293539
73	0.01884157523
74	0.01884022287
75	0.01883922242
76	0.01883742689
77	0.01883586747
78	0.01883348002
79	0.01883129869
80	0.01883001849
81	0.01882899119
82	0.01882789779
83	0.01882634077
84	0.01882471415
85	0.01882330685
86	0.01882198188
87	0.01882095528
88	0.01881997616
89	0.01881932654
90	0.01881826699
91	0.01881741113
92	0.0188165706
93	0.01881479105
94	0.0188137328
95	0.01881280218
96	0.01881170515
97	0.018810556
98	0.0188096486
99	0.01880878661
100	0.01880806371
101	0.0188067806
102	0.01880584602
103	0.01880541543
104	0.01880441442
105	0.01880344872
106	0.01880221798
107	0.01880158423
108	0.01880108969
109	0.01880065486
110	0.01880002414
111	0.01879938762
112	0.01879861724
113	0.01879779201
114	0.01879710274
115	0.01879651996
116	0.01879598384
117	0.01879491785
118	0.0187938435
119	0.01879284624
120	0.01879210971
121	0.01879117021
122	0.01879069438
123	0.01878976951
124	0.01878917552
125	0.01878785084
126	0.01878713257
127	0.018786611
128	0.01878586821
129	0.01878523731
130	0.0187844623
131	0.01878320565
